Seasonal Variation (Data Source),Simulation Run Number,T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Season,Frequency,RIS Gain (dB),RIS Path Loss (dB)
FallH,3,50.0,377,-135.2,4.3,186,-2.9,245.7,-4,158.5,90.6,0,24.25,64.9001,93.5999
FallH,3,50.0,386,-147.6,6.1,189,-1.7,233.6,2,160.3,37.8,0,24.25,91.9601,68.3399
FallH,3,50.0,531,-134.5,5.7,285,0.9,246.1,4,163.0,118.2,0,24.25,106.9983,56.0017
FallH,3,50.0,534,-142.9,4.2,308,-1.0,233.6,17,160.5,85.3,0,24.25,37.0194,123.4806
FallH,3,50.0,539,-142.1,3.7,173,0.6,241.7,17,169.9,177.2,0,24.25,50.1094,119.7906
FallH,3,50.0,545,-144.4,2.6,117,-5.5,234.9,13,173.1,164.2,0,24.25,64.7108,108.3892
FallH,3,50.0,552,-142.3,3.4,273,-7.5,242.0,4,168.1,163.6,0,24.25,118.884,49.216
FallH,3,50.0,559,-151.0,2.4,180,-5.3,243.8,3,154.9,36.2,0,24.25,61.4119,93.4881
FallH,3,50.0,567,-147.0,0.7,296,-7.2,262.7,2,174.2,173.4,0,24.25,116.6421,57.5579
FallH,3,50.0,575,-149.7,6.1,284,-5.5,242.6,0,165.7,111.5,0,24.25,105.0276,60.6724
FallH,3,50.0,584,-142.7,4.8,82,-2.1,247.2,0,169.8,183.9,0,24.25,135.8709,33.9291
FallH,3,50.0,602,-149.4,5.8,293,3.9,256.6,-1,171.9,142.2,0,24.25,113.9472,57.9528
FallM,1,481.6,1605,-133.1,5.9,128,-15.2,150.0,-9,163.1,2.1,0,24.25,31.218,131.882
FallM,1,481.6,1608,-158.7,5.2,125,-16.6,52.3,-6,187.6,15.1,0,24.25,10.0212,177.5788
FallM,1,481.6,1615,-147.6,3.5,340,-10.9,146.6,-13,177.6,1.2,0,24.25,32.8476,144.7524
FallM,1,481.6,1618,-157.8,3.9,330,-5.9,55.2,0,187.8,2.1,0,24.25,2.828,184.972
FallM,1,481.6,1622,-157.3,6.0,325,-15.7,187.9,-2,187.3,0.8,0,24.25,24.7855,162.5145
FallM,1,481.6,1625,-156.3,6.0,350,-8.9,284.2,17,186.3,9.8,0,24.25,13.8816,172.4184
FallM,1,481.6,1629,-159.4,1.3,137,-10.6,74.2,-2,189.3,7.4,0,24.25,15.4969,173.8031
FallM,1,481.6,1669,-157.3,3.5,333,-7.1,202.6,-11,187.3,2.9,0,24.25,22.225,165.075
FallM,1,481.6,1774,-148.6,4.3,129,-12.0,287.0,15,178.5,26.7,0,24.25,32.7402,145.7598
FallM,1,481.6,1783,-154.1,2.1,124,-13.7,207.0,5,183.8,43.2,0,24.25,4.314,179.486
FallM,1,481.6,1790,-155.2,2.4,120,-15.7,145.3,-1,179.3,81.2,0,24.25,32.065,147.235
FallM,2,367.6,1225,-118.9,5.2,330,-10.4,335.9,3,148.9,2.5,0,24.25,38.2053,110.6947
FallM,2,367.6,1228,-122.2,1.5,335,-10.2,202.6,1,152.1,1.5,0,24.25,25.9243,126.1757
FallM,2,367.6,1259,-132.7,0.9,29,-11.5,200.5,6,162.7,2.2,0,24.25,38.4053,124.2947
FallM,2,367.6,1263,-127.7,5.0,327,-8.1,208.6,10,157.6,5.9,0,24.25,18.4931,139.1069
FallM,2,367.6,1269,-125.6,5.7,342,-9.5,11.6,3,155.6,1.1,0,24.25,33.8723,121.7277
FallM,2,367.6,1276,-138.2,4.2,311,-4.0,18.2,-6,168.2,3.1,0,24.25,15.13,153.07
FallM,2,367.6,1284,-128.9,2.2,321,-10.7,1.9,9,158.9,2.0,0,24.25,29.5864,129.3136
FallM,2,367.6,1293,-141.4,5.5,48,-13.0,351.0,-1,171.4,2.5,0,24.25,21.3798,150.0202
FallM,2,367.6,1303,-137.4,3.6,309,-15.2,329.9,10,167.4,7.2,0,24.25,36.7885,130.6115
FallM,2,367.6,1313,-138.5,1.4,44,-8.1,9.6,-3,168.3,21.2,0,24.25,32.5953,135.7047
FallM,2,367.6,1324,-150.6,1.6,326,-9.7,228.6,7,177.0,46.7,0,24.25,5.1056,171.8944
FallM,2,367.6,1336,-149.1,0.2,324,-8.2,330.6,-3,162.0,16.4,0,24.25,39.5265,122.4735
FallM,2,367.6,1436,-139.8,2.3,40,-15.4,15.8,-1,169.5,31.9,0,24.25,37.4287,132.0713
FallM,2,367.6,1594,-155.6,4.1,328,-12.1,328.9,5,156.2,12.7,0,24.25,42.996,113.204
FallM,2,367.6,1602,-151.9,0.5,37,-14.7,222.6,12,181.8,50.5,0,24.25,42.8952,138.9048
